url,locode,name,subdiv,iso2
https://service.unece.org/trade/locode/ae.htm,AESWE,Swaihan,AZ,ae
https://service.unece.org/trade/locode/ae.htm,AEDUJ,The Palm Jumeirah,DU,ae
https://service.unece.org/trade/locode/ae.htm,AEULR,Umm Al Nar,,ae
https://service.unece.org/trade/locode/ae.htm,AEQIW,Umm al Quwain,,ae
https://service.unece.org/trade/locode/ae.htm,AEVHT,Vopak Horizion Terminal,RK,ae
https://service.unece.org/trade/locode/ae.htm,AEYAS,Yas Island,AZ,ae
https://service.unece.org/trade/locode/ae.htm,AEZUR,Zirku Island,AZ,ae
https://service.unece.org/trade/locode/af.htm,AFASH,Ali Shirzayi,URU,af
https://service.unece.org/trade/locode/af.htm,AFBAG,Bagram,PAR,af
https://service.unece.org/trade/locode/af.htm,AFBIN,Bamian,,af
https://service.unece.org/trade/locode/af.htm,AFBEP,Bazar-E-Panjwai,KAN,af
https://service.unece.org/trade/locode/af.htm,AFBST,Bost,,af
https://service.unece.org/trade/locode/af.htm,AFCBN,Camp Bastion,HEL,af
https://service.unece.org/trade/locode/af.htm,AFCDW,Camp Dwyer,HEL,af
https://service.unece.org/trade/locode/af.htm,AFCLN,Camp Leatherneck,HEL,af
https://service.unece.org/trade/locode/af.htm,AFCSO,Camp Salerno,KHO,af
https://service.unece.org/trade/locode/af.htm,AFCWO,Camp Wolverine,ZAB,af
https://service.unece.org/trade/locode/af.htm,AFCCN,Chaghcharan,,af
https://service.unece.org/trade/locode/af.htm,AFDAZ,Darwaz,,af
https://service.unece.org/trade/locode/af.htm,AFDHD,Dehdadi,BAL,af
https://service.unece.org/trade/locode/af.htm,AFISQ,Eslam Qal'eh,,af
https://service.unece.org/trade/locode/af.htm,AFFBD,Faizabad,,af
https://service.unece.org/trade/locode/af.htm,AFFAH,Farah,,af
https://service.unece.org/trade/locode/af.htm,AFFRO,FOB Frontenac,KAN,af
https://service.unece.org/trade/locode/af.htm,AFRMD,FOB Ramrod,KAN,af
https://service.unece.org/trade/locode/af.htm,AFSHK,FOB Shank,LOG,af
https://service.unece.org/trade/locode/af.htm,AFGRG,Gardez,,af
https://service.unece.org/trade/locode/af.htm,AFGAR,Gardiz,PIA,af
https://service.unece.org/trade/locode/af.htm,AFGZI,Ghazni,,af
https://service.unece.org/trade/locode/af.htm,AFHRT,Hairatan,,af
https://service.unece.org/trade/locode/af.htm,AFHEA,Herat,,af
https://service.unece.org/trade/locode/af.htm,AFJAA,Jalalabad,,af
https://service.unece.org/trade/locode/af.htm,AFKBL,Kabul,,af
https://service.unece.org/trade/locode/af.htm,AFKMU,Kamu,KNR,af
https://service.unece.org/trade/locode/af.htm,AFKDH,Kandahar,,af
https://service.unece.org/trade/locode/af.htm,AFKHT,Khost,,af
https://service.unece.org/trade/locode/af.htm,AFKHO,Khowst,KNR,af
https://service.unece.org/trade/locode/af.htm,AFKWT,Khowst,PIA,af
https://service.unece.org/trade/locode/af.htm,AFKWH,Khwahan,,af
https://service.unece.org/trade/locode/af.htm,AFUND,Kunduz,,af
https://service.unece.org/trade/locode/af.htm,AFKUR,Kuran-O-Munjan,,af
https://service.unece.org/trade/locode/af.htm,AFLAG,Lashkar Gah,HEL,af
https://service.unece.org/trade/locode/af.htm,AFMMZ,Maimana,,af
https://service.unece.org/trade/locode/af.htm,AFMWD,Maiwand,KAN,af
https://service.unece.org/trade/locode/af.htm,AFMAS,Mashad,,af
https://service.unece.org/trade/locode/af.htm,AFMZR,Mazar-i-Sharif,,af
https://service.unece.org/trade/locode/af.htm,AFMEH,Mehtar Lam,LAG,af
https://service.unece.org/trade/locode/af.htm,AFMEY,Meydan,BAL,af
https://service.unece.org/trade/locode/af.htm,AFIMZ,Nimroz,,af
https://service.unece.org/trade/locode/af.htm,AFORG,Orgun-E Kalan,PKA,af
https://service.unece.org/trade/locode/af.htm,AFPSD,Pasaband,GHO,af
https://service.unece.org/trade/locode/af.htm,AFPEC,Pol-e Charkhi,KAB,af
https://service.unece.org/trade/locode/af.htm,AFLQN,Qala Nau,,af
https://service.unece.org/trade/locode/af.htm,AFQLT,Qalat,,af
https://service.unece.org/trade/locode/af.htm,AFQYN,Qal'Eh-Ye Now,BDG,af
https://service.unece.org/trade/locode/af.htm,AFQAM,Qasim,,af
https://service.unece.org/trade/locode/af.htm,AFSBF,Sardeh Band,,af
https://service.unece.org/trade/locode/af.htm,AFSRO,Sharona,PKA,af
https://service.unece.org/trade/locode/af.htm,AFSGA,Sheghnan,,af
https://service.unece.org/trade/locode/af.htm,AFSHE,Sherhan-Bandar,,af
https://service.unece.org/trade/locode/af.htm,AFSDD,Shindand,HER,af
https://service.unece.org/trade/locode/af.htm,AFSBK,Spin Boldak,KAN,af
https://service.unece.org/trade/locode/af.htm,AFTQN,Taluqan,,af
https://service.unece.org/trade/locode/af.htm,AFTKO,Tarin Kowt,URU,af
https://service.unece.org/trade/locode/af.htm,AFTII,Tirinkot,,af
https://service.unece.org/trade/locode/af.htm,AFTGH,Torghundi,,af
https://service.unece.org/trade/locode/af.htm,AFRKH,Torkham,NAN,af
https://service.unece.org/trade/locode/af.htm,AFTOW,Towraghondi,HER,af
https://service.unece.org/trade/locode/af.htm,AFURN,Urgoon,,af
https://service.unece.org/trade/locode/af.htm,AFURZ,Uruzgan,,af
https://service.unece.org/trade/locode/af.htm,AFZAJ,Zaranj,,af
https://service.unece.org/trade/locode/af.htm,AFZHA,Zhari Dasht,KAN,af
https://service.unece.org/trade/locode/ag.htm,AGANU,Antigua,,ag
https://service.unece.org/trade/locode/ag.htm,AGBBQ,Barbuda,,ag
https://service.unece.org/trade/locode/ag.htm,AGFAM,Falmouth,,ag
https://service.unece.org/trade/locode/ag.htm,AGPHM,Parham,,ag
https://service.unece.org/trade/locode/ag.htm,AGSJO,Saint John's,,ag
https://service.unece.org/trade/locode/ai.htm,AIAXA,Anguilla,,ai
https://service.unece.org/trade/locode/ai.htm,AIBLP,Blowing Point,,ai
https://service.unece.org/trade/locode/ai.htm,AICRH,Crocus Hill,,ai
https://service.unece.org/trade/locode/ai.htm,AIMBB,Meads Bay Beach,,ai
https://service.unece.org/trade/locode/ai.htm,AIRBY,Road Bay,,ai
https://service.unece.org/trade/locode/ai.htm,AISOM,Sombrero,,ai
https://service.unece.org/trade/locode/ai.htm,AIFOR,The Forest,,ai
https://service.unece.org/trade/locode/ai.htm,AIROA,The Road,,ai
https://service.unece.org/trade/locode/ai.htm,AIVAL,The Valley,,ai
https://service.unece.org/trade/locode/ai.htm,AIWLL,Wall Blake,,ai
https://service.unece.org/trade/locode/al.htm,ALARG,Argyrokastro,,al
https://service.unece.org/trade/locode/al.htm,ALBRT,Berat,BR,al
https://service.unece.org/trade/locode/al.htm,ALBQE,BulqizÃ«,09,al
https://service.unece.org/trade/locode/al.htm,ALBUT,Butrint,SR,al
https://service.unece.org/trade/locode/al.htm,ALDRZ,DurrÃ«s,,al
