url,locode,name,subdiv,iso2,country_id
https://service.unece.org/trade/locode/ae.htm,AESZS,Saif Zone,SH,AE,234
https://service.unece.org/trade/locode/ae.htm,AESHJ,Sharjah,SH,AE,234
https://service.unece.org/trade/locode/ae.htm,AESIL,Sila,AZ,AE,234
https://service.unece.org/trade/locode/ae.htm,AESRT,Stevin Rock,RK,AE,234
https://service.unece.org/trade/locode/ae.htm,AESWE,Swaihan,AZ,AE,234
https://service.unece.org/trade/locode/ae.htm,AEDUJ,The Palm Jumeirah,DU,AE,234
https://service.unece.org/trade/locode/ae.htm,AEULR,Umm Al Nar,,AE,234
https://service.unece.org/trade/locode/ae.htm,AEQIW,Umm al Quwain,,AE,234
https://service.unece.org/trade/locode/ae.htm,AEVHT,Vopak Horizion Terminal,RK,AE,234
https://service.unece.org/trade/locode/ae.htm,AEYAS,Yas Island,AZ,AE,234
https://service.unece.org/trade/locode/ae.htm,AEZUR,Zirku Island,AZ,AE,234
https://service.unece.org/trade/locode/af.htm,AFASH,Ali Shirzayi,URU,AF,1
https://service.unece.org/trade/locode/af.htm,AFBAG,Bagram,PAR,AF,1
https://service.unece.org/trade/locode/af.htm,AFBIN,Bamian,,AF,1
https://service.unece.org/trade/locode/af.htm,AFBEP,Bazar-E-Panjwai,KAN,AF,1
https://service.unece.org/trade/locode/af.htm,AFBST,Bost,,AF,1
https://service.unece.org/trade/locode/af.htm,AFCBN,Camp Bastion,HEL,AF,1
https://service.unece.org/trade/locode/af.htm,AFCDW,Camp Dwyer,HEL,AF,1
https://service.unece.org/trade/locode/af.htm,AFCLN,Camp Leatherneck,HEL,AF,1
https://service.unece.org/trade/locode/af.htm,AFCSO,Camp Salerno,KHO,AF,1
https://service.unece.org/trade/locode/af.htm,AFCWO,Camp Wolverine,ZAB,AF,1
https://service.unece.org/trade/locode/af.htm,AFCCN,Chaghcharan,,AF,1
https://service.unece.org/trade/locode/af.htm,AFDAZ,Darwaz,,AF,1
https://service.unece.org/trade/locode/af.htm,AFDHD,Dehdadi,BAL,AF,1
https://service.unece.org/trade/locode/af.htm,AFISQ,Eslam Qal'eh,,AF,1
https://service.unece.org/trade/locode/af.htm,AFFBD,Faizabad,,AF,1
https://service.unece.org/trade/locode/af.htm,AFFAH,Farah,,AF,1
https://service.unece.org/trade/locode/af.htm,AFFRO,FOB Frontenac,KAN,AF,1
https://service.unece.org/trade/locode/af.htm,AFRMD,FOB Ramrod,KAN,AF,1
https://service.unece.org/trade/locode/af.htm,AFSHK,FOB Shank,LOG,AF,1
https://service.unece.org/trade/locode/af.htm,AFGRG,Gardez,,AF,1
https://service.unece.org/trade/locode/af.htm,AFGAR,Gardiz,PIA,AF,1
https://service.unece.org/trade/locode/af.htm,AFGZI,Ghazni,,AF,1
https://service.unece.org/trade/locode/af.htm,AFHRT,Hairatan,,AF,1
https://service.unece.org/trade/locode/af.htm,AFHEA,Herat,,AF,1
https://service.unece.org/trade/locode/af.htm,AFJAA,Jalalabad,,AF,1
https://service.unece.org/trade/locode/af.htm,AFKBL,Kabul,,AF,1
https://service.unece.org/trade/locode/af.htm,AFKMU,Kamu,KNR,AF,1
https://service.unece.org/trade/locode/af.htm,AFKDH,Kandahar,,AF,1
https://service.unece.org/trade/locode/af.htm,AFKHT,Khost,,AF,1
https://service.unece.org/trade/locode/af.htm,AFKHO,Khowst,KNR,AF,1
https://service.unece.org/trade/locode/af.htm,AFKWT,Khowst,PIA,AF,1
https://service.unece.org/trade/locode/af.htm,AFKWH,Khwahan,,AF,1
https://service.unece.org/trade/locode/af.htm,AFUND,Kunduz,,AF,1
https://service.unece.org/trade/locode/af.htm,AFKUR,Kuran-O-Munjan,,AF,1
https://service.unece.org/trade/locode/af.htm,AFLAG,Lashkar Gah,HEL,AF,1
https://service.unece.org/trade/locode/af.htm,AFMMZ,Maimana,,AF,1
https://service.unece.org/trade/locode/af.htm,AFMWD,Maiwand,KAN,AF,1
https://service.unece.org/trade/locode/af.htm,AFMAS,Mashad,,AF,1
https://service.unece.org/trade/locode/af.htm,AFMZR,Mazar-i-Sharif,,AF,1
https://service.unece.org/trade/locode/af.htm,AFMEH,Mehtar Lam,LAG,AF,1
https://service.unece.org/trade/locode/af.htm,AFMEY,Meydan,BAL,AF,1
https://service.unece.org/trade/locode/af.htm,AFIMZ,Nimroz,,AF,1
https://service.unece.org/trade/locode/af.htm,AFORG,Orgun-E Kalan,PKA,AF,1
https://service.unece.org/trade/locode/af.htm,AFPSD,Pasaband,GHO,AF,1
https://service.unece.org/trade/locode/af.htm,AFPEC,Pol-e Charkhi,KAB,AF,1
https://service.unece.org/trade/locode/af.htm,AFLQN,Qala Nau,,AF,1
https://service.unece.org/trade/locode/af.htm,AFQLT,Qalat,,AF,1
https://service.unece.org/trade/locode/af.htm,AFQYN,Qal'Eh-Ye Now,BDG,AF,1
https://service.unece.org/trade/locode/af.htm,AFQAM,Qasim,,AF,1
https://service.unece.org/trade/locode/af.htm,AFSBF,Sardeh Band,,AF,1
https://service.unece.org/trade/locode/af.htm,AFSRO,Sharona,PKA,AF,1
https://service.unece.org/trade/locode/af.htm,AFSGA,Sheghnan,,AF,1
https://service.unece.org/trade/locode/af.htm,AFSHE,Sherhan-Bandar,,AF,1
https://service.unece.org/trade/locode/af.htm,AFSDD,Shindand,HER,AF,1
https://service.unece.org/trade/locode/af.htm,AFSBK,Spin Boldak,KAN,AF,1
https://service.unece.org/trade/locode/af.htm,AFTQN,Taluqan,,AF,1
https://service.unece.org/trade/locode/af.htm,AFTKO,Tarin Kowt,URU,AF,1
https://service.unece.org/trade/locode/af.htm,AFTII,Tirinkot,,AF,1
https://service.unece.org/trade/locode/af.htm,AFTGH,Torghundi,,AF,1
https://service.unece.org/trade/locode/af.htm,AFRKH,Torkham,NAN,AF,1
https://service.unece.org/trade/locode/af.htm,AFTOW,Towraghondi,HER,AF,1
https://service.unece.org/trade/locode/af.htm,AFURN,Urgoon,,AF,1
https://service.unece.org/trade/locode/af.htm,AFURZ,Uruzgan,,AF,1
https://service.unece.org/trade/locode/af.htm,AFZAJ,Zaranj,,AF,1
https://service.unece.org/trade/locode/af.htm,AFZHA,Zhari Dasht,KAN,AF,1
https://service.unece.org/trade/locode/ag.htm,AGANU,Antigua,,AG,10
https://service.unece.org/trade/locode/ag.htm,AGBBQ,Barbuda,,AG,10
https://service.unece.org/trade/locode/ag.htm,AGFAM,Falmouth,,AG,10
https://service.unece.org/trade/locode/ag.htm,AGPHM,Parham,,AG,10
https://service.unece.org/trade/locode/ag.htm,AGSJO,Saint John's,,AG,10
https://service.unece.org/trade/locode/ai.htm,AIAXA,Anguilla,,AI,8
https://service.unece.org/trade/locode/ai.htm,AIBLP,Blowing Point,,AI,8
https://service.unece.org/trade/locode/ai.htm,AICRH,Crocus Hill,,AI,8
https://service.unece.org/trade/locode/ai.htm,AIMBB,Meads Bay Beach,,AI,8
https://service.unece.org/trade/locode/ai.htm,AIRBY,Road Bay,,AI,8
https://service.unece.org/trade/locode/ai.htm,AISOM,Sombrero,,AI,8
https://service.unece.org/trade/locode/ai.htm,AIFOR,The Forest,,AI,8
https://service.unece.org/trade/locode/ai.htm,AIROA,The Road,,AI,8
https://service.unece.org/trade/locode/ai.htm,AIVAL,The Valley,,AI,8
https://service.unece.org/trade/locode/ai.htm,AIWLL,Wall Blake,,AI,8
https://service.unece.org/trade/locode/al.htm,ALARG,Argyrokastro,,AL,3
https://service.unece.org/trade/locode/al.htm,ALBRT,Berat,BR,AL,3
https://service.unece.org/trade/locode/al.htm,ALBQE,BulqizÃ«,9,AL,3
https://service.unece.org/trade/locode/al.htm,ALBUT,Butrint,SR,AL,3
https://service.unece.org/trade/locode/al.htm,ALDRZ,DurrÃ«s,,AL,3
https://service.unece.org/trade/locode/al.htm,ALNPP,Elbasan,EL,AL,3
https://service.unece.org/trade/locode/al.htm,ALFIE,Fier,,AL,3
https://service.unece.org/trade/locode/al.htm,ALFUS,Fushe Arrez,SH,AL,3
https://service.unece.org/trade/locode/al.htm,ALGOK,GjirokastÃ«r,GJ,AL,3
https://service.unece.org/trade/locode/al.htm,ALHMR,Himare,SR,AL,3
https://service.unece.org/trade/locode/al.htm,ALKRC,KorÃ§Ã«,KO,AL,3
https://service.unece.org/trade/locode/al.htm,ALKKU,KukÃ«s,KU,AL,3
https://service.unece.org/trade/locode/al.htm,ALLZE,Lezhe,LE,AL,3
https://service.unece.org/trade/locode/al.htm,ALLUS,LushnjÃ«,LU,AL,3
https://service.unece.org/trade/locode/al.htm,ALMBR,Mbreshtan,1,AL,3
https://service.unece.org/trade/locode/al.htm,ALMIL,Milot,8,AL,3
https://service.unece.org/trade/locode/al.htm,ALROM,Romano Port,2,AL,3
https://service.unece.org/trade/locode/al.htm,ALSAR,SarandÃ«,SR,AL,3
https://service.unece.org/trade/locode/al.htm,ALSHG,ShÃ«ngjin,LE,AL,3
https://service.unece.org/trade/locode/al.htm,ALSHK,Shkoder,,AL,3
https://service.unece.org/trade/locode/al.htm,ALSHZ,Shkozet,KA,AL,3
https://service.unece.org/trade/locode/al.htm,ALTEN,Tenes,,AL,3
https://service.unece.org/trade/locode/al.htm,ALTIA,Tirana,,AL,3
https://service.unece.org/trade/locode/al.htm,ALVOA,VlorÃ«,VL,AL,3
https://service.unece.org/trade/locode/al.htm,ALVOR,Vore,TR,AL,3
https://service.unece.org/trade/locode/am.htm,AMABO,Abovyan,,AM,12
https://service.unece.org/trade/locode/am.htm,AMAHU,Akhuryan,,AM,12
https://service.unece.org/trade/locode/am.htm,AMA3A,Aparan,AG,AM,12
https://service.unece.org/trade/locode/am.htm,AMARG,Aragatsotn,,AM,12
https://service.unece.org/trade/locode/am.htm,AMARA,Ararat,,AM,12
https://service.unece.org/trade/locode/am.htm,AMARV,Armavir,,AM,12
https://service.unece.org/trade/locode/am.htm,AMASH,Ashtarak,ER,AM,12
https://service.unece.org/trade/locode/am.htm,AMBRD,Berd,,AM,12
https://service.unece.org/trade/locode/am.htm,AMBYU,Byureghavan,KT,AM,12
https://service.unece.org/trade/locode/am.htm,AMDIL,Dilijan,,AM,12
https://service.unece.org/trade/locode/am.htm,AMEZN,Ecmiadzin,,AM,12
https://service.unece.org/trade/locode/am.htm,AMGRS,Goris,,AM,12
https://service.unece.org/trade/locode/am.htm,AMLWN,Gyumri,,AM,12
https://service.unece.org/trade/locode/am.htm,AMHRA,Hrazdan,KT,AM,12
https://service.unece.org/trade/locode/am.htm,AMJER,Jermuk,VD,AM,12
https://service.unece.org/trade/locode/am.htm,AMKJN,Kajaran,,AM,12
https://service.unece.org/trade/locode/am.htm,AMKPN,Kapan,SU,AM,12
https://service.unece.org/trade/locode/am.htm,AMARM,Masis,AR,AM,12
https://service.unece.org/trade/locode/am.htm,AMMMA,Mets Masrik,GR,AM,12
https://service.unece.org/trade/locode/am.htm,AMMTR,Metsamor,ER,AM,12
https://service.unece.org/trade/locode/am.htm,AMRN4,Rind,VD,AM,12
https://service.unece.org/trade/locode/am.htm,AMSPI,Spitak,LO,AM,12
https://service.unece.org/trade/locode/am.htm,AMVZR,Vanadzor,,AM,12
https://service.unece.org/trade/locode/am.htm,AMVED,Vedi,AR,AM,12
https://service.unece.org/trade/locode/am.htm,AMEVN,Yerevan,ER,AM,12
https://service.unece.org/trade/locode/ao.htm,AOAZZ,Ambriz,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOANL,Andulo,,AO,7
https://service.unece.org/trade/locode/ao.htm,AOARO,Armada Olombendo FPSO,ZAI,AO,7
https://service.unece.org/trade/locode/ao.htm,AOBAB,Baba,,AO,7
